source_cui,target_cui
C0450295,C0423422
C0450295,C0423425
C0450295,C0423427
C0450295,C0423423
C0450295,C0423426
C0450295,C0423428
C0450295,C0423435
C0450295,C0344272
C0450295,C0344273
C0450295,C0344280
C0450295,C0278234
C0450295,C0278239
C0450295,C0339393
C0450295,C0339501
C0450295,C0339504
C0450295,C0339508
C0450295,C0339512
C0450295,C0339551
C0450295,C0339552
C0450295,C0271051
C0450295,C0271083
C0450295,C0271084
C0450295,C0271085
C0450295,C0271086
C0450295,C0271093
C0450295,C0271178
C0450295,C0266563
C0450295,C0268233
C0450295,C0242383
C0450295,C0154850
C0450295,C5886822
C0450295,C5886822
C0450295,C5788965
C0450295,C5688804
C0450295,C5924497
C0450295,C5924496
C0450295,C5761410
C0450295,C5767524
C0450295,C0035298
C0450295,C5852774
C0450295,C5852775
C0450295,C5852909
C0450295,C5577652
C0450295,C5687383
C0450295,C5687385
C0450295,C5688149
C0450295,C5688466
C0450295,C5189137
C0450295,C5230212
C0450295,C5230245
C0450295,C5230293
C0450295,C5230414
C0450295,C5554388
C0450295,C5396393
C0450295,C5200735
C0450295,C4521693
C0450295,C4302992
C0450295,C4302993
C0450295,C4304667
C0450295,C4304823
C0450295,C4310713
C0450295,C4544116
C0450295,C4544116
C0450295,C0024437
C0450295,C0024440
C0450295,C0024441
C0450295,C3669371
C0450295,C3840045
C0450295,C3661952
C0450295,C3469318
C0029127,C1998188
C0029127,C2013228
C0029127,C2013223
C0029127,C2013229
C0029127,C2013224
C0029127,C2013225
C0029127,C2013226
C0029127,C2013300
C0029127,C2013299
C0029127,C2013305
C0029127,C2013296
C0029127,C2013295
C0029127,C2013301
C0029127,C2013304
C0029127,C1744705
C0029127,C1562253
C0029127,C1827466
C0029127,C1828066
C0029127,C1828214
C0029127,C1846467
C0029127,C1290608
C0029127,C1444599
C0029127,C1275499
C0029127,C1319186
C0029127,C1298695
C0029127,C1321312
C0029127,C1272637
C0029127,C1287581
C0029127,C1112376
C0029127,C0730310
C0029127,C0578635
C0029127,C0578633
C0029127,C0578634
C0029127,C0554970
C0029127,C0554971
C0029127,C0423454
C0029127,C0423451
C0029127,C0423467
C0029127,C0423464
C0029127,C0423452
C0029127,C0423457
C0029127,C0423458
C0029127,C0423469
C0029127,C0423473
C0029127,C0423474
C0029127,C0423475
C0029127,C0423456
C0029127,C0423465
C0029127,C0423466
C0029127,C0423470
C0029127,C0423476
C0029127,C0474354
C0029127,C0474362
C0029127,C0424837
C0029127,C0344299
C0029127,C0344302
C0029127,C0344301
C0029127,C0278232
C0029127,C0393782
C0029127,C0346329
C0029127,C0338499
C0029127,C0338501
C0029127,C0338500
C0029127,C0338503
C0029127,C5191889
C0029127,C0338505
C0029127,C0339404
C0029127,C0339494
C0029127,C0339554
C0029127,C0271342
C0029127,C5191678
C0029127,C5191678
C0029127,C0155290
C0029127,C5396078
C0029127,C0154874
C0029127,C4749235
C0029127,C5688786
C0029127,C5921655
C0029127,C5922328
C0029127,C5768555
C0029127,C2930835
C0029127,C0030353
C0029127,C0030353
C0029127,C5680094
C0029127,C5688490
C0029127,C5688595
C0029127,C5394850
C0029127,C5394851
C0029127,C5191889
C0029127,C5191893
C0029127,C5396393
C0029127,C5396418
C0029127,C5396726
C0029127,C4552285
C0029127,C4302055
C0029127,C4302400
C0029127,C3805910
C0029127,C4076765
C0029127,C3840188
C0029127,C3494919
C1275950,C4515792
C0035327,C2939143
C0035327,C2063836
C0035327,C2070078
C0035327,C2070077
C0035327,C2070076
C0035327,C2013184
C0035327,C1527411
C0035327,C1719784
C0035327,C1305622
C0035327,C1281306
C0035327,C1287580
C0035327,C0730361
C0035327,C0730360
C0035327,C0423393
C0035327,C0423396
C0035327,C0423394
C0035327,C0423399
C0035327,C0423398
C0035327,C0423462
C0035327,C0392193
C0035327,C0339499
C0035327,C0339500
C0035327,C0339498
C0035327,C0339497
C0035327,C0339501
C0035327,C0339503
C0035327,C0339502
C0035327,C0339504
C0035327,C0271072
C0035327,C0271073
C0035327,C0271079
C0035327,C0271080
C0154841,C0226611
C0035327,C0154841
C0035327,C0154843
C0035327,C0035328
C0035327,C0035328
C0035327,C0035328
C0035327,C5396807
C0035327,C4543419
C0008520,C2711807
C0008520,C2937242
C0008520,C2174598
C0008520,C2174599
C0008520,C2174615
C0008520,C2174600
C0008520,C2174602
C0008520,C2174617
C0008520,C2174616
C0008520,C2174613
C0008520,C2174614
C0008520,C2174601
C0008520,C2074296
C0008520,C2074298
C0008520,C2074300
C0008520,C2074302
C0008520,C2074295
C0008520,C2074292
C0008520,C2074303
C0008520,C2074333
C0008520,C2074336
C0008520,C2074323
C0008520,C2074328
C0008520,C2074357
C0008520,C2074363
C0008520,C2074331
C0008520,C2074365
C0008520,C2074329
C0008520,C2074361
C0008520,C2074335
C0008520,C2074321
C0008520,C2074324
C0008520,C2074325
C0008520,C2074364
C0008520,C2235518
C0008520,C2013161
C0008520,C2047523
C0008520,C1868310
C0008520,C1706561
C0008520,C1628977
C0008520,C1562082
C0008520,C1562194
C0008520,C1562346
C0008520,C1562808
C0008520,C1833321
C0008520,C1719941
C0008520,C1533060
C0008520,C1533060
C0008520,C1853959
C0008520,C1536451
C0008520,C1536451
C0008520,C1305287
C0008520,C0018425
C0008520,C1299640
C0008520,C1263862
C0008520,C1281915
C0008520,C1281938
C0008520,C1281937
C0008520,C1282138
C0008520,C1282145
C0008520,C0729842
C0008520,C0730291
C0008520,C0730300
C0008520,C0730299
C0008520,C0730321
C0008520,C0730326
C0008520,C0730327
C0008520,C0563535
C0008520,C0686357
C0008520,C0521563
C0008520,C0521565
C0008520,C0521564
C0008520,C0521680
C0008520,C0521679
C0008520,C0521681
C0008520,C0521683
C0008520,C0521684
C0008520,C0553845
C0008520,C0423377
C0008520,C0423425
C0008520,C0423442
C0008520,C0423440
C0008520,C0423441
C0008520,C0423446
C0008520,C0423444
C0008520,C0423443
